institution_id,institution_display_name,institution_type,institution_country_code,simplified_institution_category,target_firm_label
I151903974,National Institute Of Technology Silchar,education,IN,education,Other
I108108428,Thammasat University,education,TH,education,Other
I2803065428,Thammasat University Hospital,healthcare,TH,healthcare,Other
I4210102840,Ubiquitous Energy (United States),company,US,company,Other
I165799507,Rensselaer Polytechnic Institute,education,US,education,Other
I130692619,Bern University of Applied Sciences,education,CH,education,Other
I94575722,Harz University of Applied Sciences,education,DE,education,Other
I58716616,Korea Institute of Science and Technology,facility,KR,research_institute,Other
I4210159521,Laureate Institute for Brain Research,facility,US,research_institute,Other
I87208437,University of Tulsa,education,US,education,Other
I169222155,Chicago Department of Public Health,government,US,government,Other
I173759888,Hunan Normal University,education,CN,education,Other
I49934816,Hunan University of Technology,education,CN,education,Other
I59433898,Brunel University of London,education,GB,education,Other
I130438778,Memorial University of Newfoundland,education,CA,education,Other
I1315649409,Institute on Taxation and Economic Policy,nonprofit,US,nonprofit,Other
I4210122547,Kumamoto University Hospital,healthcare,JP,healthcare,Other
I4210157775,Kumamoto Chuo Hospital,healthcare,JP,healthcare,Other
I4387152983,Osaka Metropolitan University,education,JP,education,Other
I163770644,Okayama University,education,JP,education,Other
I137975476,Shinshu University,education,JP,education,Other
I4210141669,Hokkaido University Hospital,healthcare,JP,healthcare,Other
I113306721,Hiroshima University,education,JP,education,Other
I205349734,Hokkaido University,education,JP,education,Other
I34077901,Juntendo University,education,JP,education,Other
I125602781,Tokyo Medical and Dental University,education,JP,education,Other
I19700959,Florida International University,education,US,education,Other
I4210089162,Northwestern Memorial Hospital,healthcare,US,healthcare,Other
I2801766832,McGill University Health Centre,healthcare,CA,healthcare,Other
I4210135742,Shanghai First People's Hospital,healthcare,CN,healthcare,Other
I2800810863,Queen Mary Hospital,healthcare,CN,healthcare,Other
I4210159102,Huawei Technologies (Sweden),company,SE,company,Other
I191208505,Xiamen University,education,CN,education,Other
I4210156302,Tan Kah Kee Innovation Laboratory,facility,CN,research_institute,Other
I4210113495,Children's Hospital of Zhejiang University,healthcare,CN,healthcare,Other
I98640878,Bedford College,education,GB,education,Other
I165524941,Wellcome Centre for Human Neuroimaging,facility,GB,research_institute,Other
I4210151618,National Hospital for Neurology and Neurosurgery,healthcare,GB,healthcare,Other
I70908550,Anhui Polytechnic University,education,CN,education,Other
I181326427,Donghua University,education,CN,education,Other
I188935350,Anhui University of Finance and Economics,education,CN,education,Other
I76214153,Lanzhou University,education,CN,education,Other
I4210092839,Gansu University of Traditional Chinese Medicine,education,CN,education,Other
I51204116,Arcadia University,education,US,education,Other
I4210123571,Huawei Technologies (France),company,FR,company,Other
I126820664,Vassar College,education,US,education,Other
I4210110987,IIT@MIT,facility,US,research_institute,Other
I1292966370,The Honourable Society of Lincoln's Inn,other,GB,unknown,Other
I4210115892,CVS Health (United States),company,US,company,Other
I102335020,Karlsruhe Institute of Technology,education,DE,education,Other
I159385669,Chiba University,education,JP,education,Other
I110092051,Brigham Young University–Hawaii,education,US,education,Other
I103163165,Florida State University,education,US,education,Other
I151221077,Chung Yuan Christian University,education,TW,education,Other
I1336096307,United States Department of Agriculture,government,US,government,Other
I4210125976,Beltsville Agricultural Research Center,facility,US,research_institute,Other
I4210088410,Beltsville Human Nutrition Research Center,government,US,government,Other
I98461037,Tecnológico de Monterrey,education,MX,education,Other
I2802656227,Universidad César Vallejo,education,PE,education,Other
I4210149691,William P. Clements Jr. University Hospital,healthcare,US,healthcare,Other
I201193091,Stephen F. Austin State University,education,US,education,Other
I4210117265,TDK (China),company,CN,company,Other
I98635879,American University of Beirut,education,LB,education,Other
I2801970007,Turku University Hospital,healthcare,FI,healthcare,Other
I194028371,University of Regina,education,CA,education,Other
I3124059619,China University of Geosciences,education,CN,education,Other
I202963720,University of St.Gallen,education,CH,education,Other
I2799884508,Kantonsspital St. Gallen,healthcare,CH,healthcare,Other
I25974101,University of Würzburg,education,DE,education,Other
I12708293,SIB Swiss Institute of Bioinformatics,nonprofit,CH,nonprofit,Other
I164389053,Fordham University,education,US,education,Other
I4210088923,The Bronx Defenders,nonprofit,US,nonprofit,Other
I12097938,West Virginia University,education,US,education,Other
I78978612,Yangzhou University,education,CN,education,Other
I35928602,Kyung Hee University,education,KR,education,Other
I4392021250,State Key Laboratory of Networking and Switching Technology,facility,,research_institute,Other
I52099693,University of York,education,GB,education,Other
I150209017,Scripps Institution of Oceanography,facility,US,research_institute,Other
I4210139617,VIR Biotechnology (United States),company,US,company,Other
I4210127121,Protein Metrics (United States),company,US,company,Other
I192891849,University of Wah,education,PK,education,Other
I28022161,King Saud University,education,SA,education,Other
I189731429,Wellesley College,education,US,education,Other
I4210091341,Novartis (China),company,CN,company,Other
I4210108520,Huahai Pharmaceutical (China),company,CN,company,Other
I168879160,Zhejiang University of Science and Technology,education,CN,education,Other
I45683168,Polytechnique Montréal,education,CA,education,Other
I4210132948,Shanghai Chengtou (China),company,CN,company,Other
I4210110242,Digital Science (United States),company,US,company,Other
I4210086728,Metal Matrix Cast Composites (United States),company,US,company,Other
I3018075036,Sanofi (France),company,FR,company,Other
I3143470655,Institute for Health Metrics and Evaluation,facility,US,research_institute,Other
I4210126065,Shanghai Electric (China),company,CN,company,Other
I4210117499,Yale New Haven Health System,healthcare,US,healthcare,Other
I2800586481,Assuta Medical Center,healthcare,IL,healthcare,Other
I4210164332,Shenzhen Second People's Hospital,healthcare,CN,healthcare,Other
I25757504,China University of Mining and Technology,education,CN,education,Other
