id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I12311892,I12311892,Eugene Applebaum College of Pharmacy and Health Sciences,education,company,Apple,US,1,0.0015537600994406462,5.0,0.0,0.0006742211647897002,8
I123173325,I123173325,Mazandaran University of Science and Technology,education,education,Other,IR,1,0.0006215040397762585,2.0,0.0,1.2737828252962144e-07,68
I123387679,I123387679,Uppsala University,education,education,Other,SE,2,0.0015537600994406462,5.0,8.341505999129341e-06,0.0001959034706280848,8
I123431417,I123431417,Scripps Research Institute,nonprofit,nonprofit,Other,US,2,0.004039776258545681,13.0,0.0,0.004905790375107209,59
I123443094,I123443094,Universidade Estadual de Maringá,education,education,Other,BR,1,0.0009322560596643878,3.0,0.0,0.00045255196554155457,17
I123534392,I123534392,University of North Texas,education,education,Other,US,3,0.0015537600994406462,5.0,0.0005167930700657419,0.0015894030098773334,20
I123565023,I123565023,Vietnam National University Ho Chi Minh City,education,education,Other,VN,3,0.001243008079552517,4.0,0.0010331997527893786,1.7310996794050376e-05,8
I123900574,I123900574,Pohang University of Science and Technology,education,education,Other,KR,3,0.0015537600994406462,5.0,0.0010333929464604312,0.0001815378005204981,49
I123946342,I123946342,Binghamton University,education,education,Other,US,1,0.0009322560596643878,3.0,0.0,0.0008570762348309727,41
I124055696,I124055696,University of Copenhagen,education,education,Other,DK,16,0.018334369173399624,72.0,0.00942229204084225,0.01767248115243973,49
I124158823,I124158823,Conservatoire National des Arts et Métiers,education,education,Other,FR,1,0.0009322560596643878,3.0,0.0,0.0015729648143025482,13
I124227911,I124227911,Ben-Gurion University of the Negev,education,education,Other,IL,6,0.006215040397762585,20.0,0.00023263515833107378,0.005065870306515813,75
I124357947,I124357947,University of London,education,education,Other,GB,2,0.007147296457426973,25.0,4.211622028946981e-06,0.002613153126534303,41
I124600578,I124600578,Landscape Institute,other,unknown,Other,GB,1,0.0027967681789931634,9.0,0.0,0.00012147996228226149,57
I124601658,I124601658,University of Parma,education,education,Other,IT,1,0.0,0.0,0.0,7.01741574200561e-36,77
I12469534,I12469534,Quaid-i-Azam University,education,education,Other,PK,2,0.0027967681789931634,9.0,0.00024288234132812766,8.33904112912432e-06,70
