id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I107672454,I107672454,Dartmouth College,education,education,Other,US,15,0.014025623735670938,123.0,0.00026801062765534497,0.012854247951059368,7
I107720978,I107720978,Ain Shams University,education,education,Other,EG,5,0.0008091706001348618,6.0,0.0004893877759650283,7.51379494662885e-06,4
I107766831,I107766831,NSF National Center for Atmospheric Research,facility,research_institute,Other,US,2,0.004180714767363453,31.0,1.3339442798134882e-06,0.00256181826919081,7
I107851509,I107851509,Chinese Academy of Tropical Agricultural Sciences,government,government,Other,CN,1,0.00026972353337828726,2.0,0.0,1.807157792334881e-43,30
I107982497,I107982497,Dalian Ocean University,education,education,Other,CN,1,0.0,0.0,0.0,1.7276259771195807e-53,31
I108103353,I108103353,Universidad de Valladolid,education,education,Other,ES,3,0.0013486176668914363,12.0,0.00013967791187757933,0.0005525828202960178,23
I108108428,I108108428,Thammasat University,education,education,Other,TH,4,0.0009440323668240054,8.0,0.00024740422022377157,0.0005331624278133875,32
I108160477,I108160477,Hebei Agricultural University,education,education,Other,CN,2,0.0004045853000674309,4.0,0.0,1.6261289927472007e-05,16
I108192572,I108192572,HEC Montréal,education,education,Other,CA,5,0.007282535401213756,57.0,1.2149200697555846e-05,0.007446363264390993,0
I108290504,I108290504,University of Pisa,education,education,Other,IT,17,0.009440323668240054,77.0,0.001052938133110857,0.005128019052305543,2
I108377266,I108377266,Earth University,education,education,Other,CR,1,0.00013486176668914363,1.0,0.0,6.977873118844793e-05,8
I108403487,I108403487,Warsaw University of Technology,education,education,Other,PL,8,0.002832097100472016,23.0,0.0004688365453195746,0.0013965700522921268,9
I108468826,I108468826,Stevens Institute of Technology,education,education,Other,US,9,0.0032366824005394474,24.0,1.1459794040215874e-06,0.0022765188476429523,0
I108526665,I108526665,Fakir Mohan University,education,education,Other,IN,4,0.0005394470667565745,15.0,0.0,9.178518978702133e-05,4
