id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community,company_neighbor_count,education_neighbor_count,research_institute_neighbor_count
I27837315,I27837315,University of Michigan,education,education,Other,US,91,0.05374461206896552,522.0,0.010782779114995767,0.053699076830295435,24,26,196,71
I139264467,I139264467,Seoul National University,education,education,Other,KR,44,0.026804956896551723,230.0,0.010752677035941125,0.01591422191973542,24,12,117,20
I98677209,I98677209,University of Edinburgh,education,education,Other,GB,64,0.05455280172413793,520.0,0.010477426967471852,0.05433097585526525,24,25,216,67
I79576946,I79576946,University of Pennsylvania,education,education,Other,US,70,0.04525862068965517,481.0,0.010236346123001701,0.057925151139404864,11,26,178,50
I47508984,I47508984,Imperial College London,education,education,Other,GB,87,0.033270474137931036,357.0,0.01007124765085898,0.054486463279462466,4,21,130,28
I1174212,I1174212,University of Southern California,education,education,Other,US,91,0.041891163793103446,418.0,0.00983910041634994,0.04005212951149216,24,25,163,30
I183935753,I183935753,King's College London,education,education,Other,GB,72,0.037984913793103446,387.0,0.009732335372541413,0.03813731146388354,16,17,166,29
I57206974,I57206974,New York University,education,education,Other,US,115,0.042295258620689655,491.0,0.00933376456571199,0.06252094770747336,0,25,188,33
I4210121988,I4210121988,Film Independent,nonprofit,nonprofit,Other,US,10,0.007408405172413793,75.0,0.008917107325514645,0.008030886717117502,0,6,32,8
I1290206253,I1290206253,Microsoft (United States),company,company,Microsoft,US,116,0.02478448275862069,360.0,0.008825116708177694,0.06712923813168406,0,40,92,15
I223822909,I223822909,Heidelberg University,education,education,Other,DE,57,0.03879310344827586,509.0,0.008703230404547178,0.025885911007864373,17,10,119,39
I4210100255,I4210100255,Beijing Academy of Artificial Intelligence,other,unknown,Other,CN,108,0.030037715517241378,514.0,0.008617664446113105,0.16643199262857825,4,18,122,32
I35928602,I35928602,Kyung Hee University,education,education,Other,KR,23,0.008216594827586207,92.0,0.008442169441722646,0.010349714567249592,13,0,54,1
I16391192,I16391192,Tel Aviv University,education,education,Other,IL,63,0.019800646551724137,236.0,0.00829384378430356,0.014814317882497862,34,15,74,16
I4210113480,I4210113480,Mohamed bin Zayed University of Artificial Intelligence,education,education,Other,AE,51,0.01939655172413793,217.0,0.008235554791784595,0.043418000185715074,0,18,99,14
I8204097,I8204097,Ludwig-Maximilians-Universität München,education,education,Other,DE,62,0.03636853448275862,373.0,0.007825659517506524,0.035638750890271825,17,12,139,61
I40347166,I40347166,University of Chicago,education,education,Other,US,62,0.0412176724137931,445.0,0.007747726397158143,0.05167745145065053,11,23,157,63
