id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000474393,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,57
A5000474748,0.001260456055918414,25.0,0.0,8.822694068217054e-07,19
A5000482667,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,58
A5000513101,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,59
A5000514476,0.000973988770482411,26.0,0.0,1.941890120791687e-14,60
A5000530197,0.00177609716970322,31.0,0.0,4.297847428011464e-12,39
A5000530436,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,61
A5000544794,0.0005729345708720064,10.0,0.0,1.9302773613771427e-20,62
A5000549784,0.0018333906267904206,32.0,0.0,7.478289992503616e-12,63
A5000564562,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,64
A5000614737,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,65
A5000623592,0.001604216798441618,28.0,8.136603201220786e-05,2.9046582980378295e-10,0
A5000629292,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,66
A5000640247,0.0007448149421336084,13.0,0.0,2.1726604222854626e-20,67
A5000640263,0.00017188037126160193,3.0,0.0,1.8280533019908467e-07,13
A5000641874,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,68
A5000642313,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,69
A5000643505,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,70
A5000650888,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,71
A5000655379,0.0,0.0,0.0,3.4717735040644275e-39,72
A5000663216,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,73
A5000667658,0.0015469233413544173,27.0,0.0,5.053005077057528e-08,74
A5000678293,0.00045834765669760516,8.0,0.0,1.0308361621084645e-10,299
A5000683013,0.0006875214850464077,12.0,0.0,3.9041970224458837e-19,75
A5000703402,0.0002864672854360032,5.0,0.0,9.893868285654998e-11,76
A5000704130,0.00022917382834880258,8.0,0.0,6.387143993839748e-11,3
A5000710609,0.0,0.0,0.0,3.4717735040644275e-39,77
A5000716736,0.0013177495130056148,23.0,0.0,5.931077319371792e-13,78
A5000720346,0.00022917382834880258,4.0,0.0,1.32437648928239e-26,79
A5000725482,0.0015469233413544173,27.0,0.0,2.2353616734718412e-12,9
A5000727458,0.0,0.0,0.0,3.4717735040644275e-39,80
A5000738527,0.0005729345708720064,10.0,0.0,1.9302773613771427e-20,81
A5000738730,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,82
A5000741143,0.0,0.0,0.0,3.4717735040644275e-39,83
A5000751263,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,84
A5000755750,0.000802108399220809,14.0,0.0017117426734587016,8.202907449683942e-10,85
A5000758709,0.0005729345708720064,10.0,0.0,1.9738751690007143e-20,86
A5000761901,0.00017188037126160193,3.0,0.0,2.3857845854521663e-28,87
A5000771881,0.0014896298842672169,26.0,0.0,3.858858759342443e-06,88
A5000776140,0.00034376074252320387,6.0,0.0,1.0345493464104335e-10,74
A5000780442,0.00045834765669760516,8.0,0.0,4.064244783318314e-15,187
A5000811147,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,89
A5000816835,0.0005729345708720064,10.0,0.0,5.3207461897109314e-09,3
A5000819439,0.00045834765669760516,8.0,0.0,5.210945779263349e-22,90
A5000827309,0.0002864672854360032,14.0,0.0,1.794682016666478e-08,15
A5000839824,0.0021771513693136244,38.0,0.0016298036412210556,1.387057392757043e-06,91
A5000844861,0.0018333906267904206,39.0,5.539002179234809e-06,2.3773627476539413e-07,49
A5000863841,0.001260456055918414,22.0,0.0,0.01332316382983044,92
A5000875912,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,93
A5000876276,0.000630228027959207,11.0,0.0,9.243018307445404e-20,94
A5000877507,0.0012031625988312136,21.0,0.0,5.06010628620849e-15,95
A5000882578,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,96
A5000893315,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,97
A5000903337,0.00011458691417440129,2.0,0.0,2.5496191301721266e-29,98
A5000925379,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,99
A5000929109,0.00017188037126160193,3.0,0.0,2.3857845854521663e-28,100
A5000932424,0.00011458691417440129,4.0,0.0,1.32437648928239e-26,101
A5000937401,0.006187693365417669,216.0,0.0014634054348563908,0.23186795830886778,92
A5000942708,0.00034376074252320387,6.0,0.0,4.209973440772273e-12,0
A5000947178,0.00045834765669760516,8.0,0.0,3.743796021691586e-17,102
A5000962435,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,103
A5000962921,0.00045834765669760516,9.0,8.136603201220786e-05,2.1803254554619535e-05,13
A5000967930,0.00017188037126160193,3.0,0.0,2.3857845854521663e-28,104
A5000970597,0.0023490317405752263,41.0,0.0,1.7087493733357688e-07,105
A5000974457,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,106
A5000988165,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,107
A5001022750,0.0002864672854360032,5.0,0.0,3.551424251966783e-13,13
A5001029327,0.0004010541996104045,7.0,0.0,7.039627170478069e-19,108
A5001038669,0.00017188037126160193,3.0,0.0,2.3857845854521663e-28,109
A5001039604,0.00022917382834880258,6.0,0.0,6.455282812134969e-25,110
A5001049098,0.0004010541996104045,39.0,0.0,2.3271767066648319e-10,111
A5001057120,0.00045834765669760516,8.0,0.0,1.2967971222026413e-08,91
A5001058167,0.000630228027959207,13.0,0.0,2.750935816978176e-06,19
